0.0,0.31664
0.5,0.26864
1.0,0.26704
1.5,0.21136
2.0,0.19644
2.5,0.15408
3.0,0.15412
3.5,0.13192
4.0,0.14492
4.5,0.13004
5.0,0.13664
5.5,0.1296
6.0,0.1352
6.5,0.13048
7.0,0.1338
7.5,0.15104
8.0,0.18708
8.5,0.25704
9.0,0.33224
9.5,0.3206
10.0,0.33672
10.5,0.33252
11.0,0.314833333
11.5,0.32996
12.0,0.28652
12.5,0.30884
13.0,0.22712
13.5,0.208041667
14.0,0.290875
14.5,0.234875
15.0,0.18275
15.5,0.240875
16.0,0.22
16.5,0.253083333
17.0,0.311416667
17.5,0.322708333
18.0,0.432999996
18.5,0.510250004
19.0,0.619708338
19.5,0.472
20.0,0.630666663
20.5,0.461416667
21.0,0.511041667
21.5,0.481375
22.0,0.418541667
22.5,0.361708333
23.0,0.391333333
23.5,0.326625
